ta1,ta2,ta3,ta4,ta5,ta6,ta7
pelotas,porque,pelota,"No, porque el sentimiento es de alegria",porque mi hermanito es gordo de muchos gritos,"saltar, gritar, etc.",que la pelota era de plata porque tenia oro
vecino,amigo,perro,"Si, porque la pelota cada que rebota suena",que su hermano siempre esta gritando y saltando,una bola de pelusa,como alguien muy importante
vecino,familia,perro,"No, porque las pelotas no cantan*",que su hermano grita mucho,yo porque alegro el dia a mis amigos,que es muy especial
oido,el televisor,perro,No porque las pelotas no cantan*,quiere decir que su hermanito grita mucho en casa,"un gato,porque tiene pelo",mi respuesta en la frase puede ser que es una pelota valiosa
sol,boton,cabello,"Si, porque la pelota puede cantar",Que a su hermano le gustan los gritos,"El Hilo, porque es como un cabello",Un boton de plata
vecino,mi amiga,Papa,"No, porque las pelotas no hablan",que su hermano grita mucho,Un perro porque un perro puede ser gordo y tiene mucho pelo,persona importante
sol,Mi deporte,cabello,"No, porque las pelotas no cantan (es una metafora)",Que el hermano es ruidoso,perro porque es peludo*,"MI respuesta en la frase ""pelota de plata"" Fue deporte porque me gusta mucho"
horno,la moneda,Perro,"No, porque las pelotas no cantan*",Que es una persona que no para de gritar,gato porque tiene pelo*,Algo redondo de plata
papa,tio,Madrina,"Si, porque cuando la rebotas suena",que su hermano grita mucho*,tia porque tiene mucho cabello,Que pesa
vecino,Lupita,Abuela,"No, porque es imposible que una pelota cante, aunque metaforicamente si",su hermano grita mucho*,Un miembro familiar con mucho cabello,Miembro muy valioso e importante para la familia
balon,papa,Mascota,No porque las pelotas no hablan,su hermano es griton*,perro porque tiene mucho pelo*,una pelota que vale mucho
volcan,la bala,perro,"Si, porque su mama canta y la pelota tambien","que su hermanito cuando llora, grita","Su cabello, porque esta cubierto de pelos",La bala es de plata y por eso la puse
bascet,pinpon,perro,"No, porque las pelotas no cantan*",mi hermano grita mucho*,el perro o el gato,El pinpon tiene una pelota de plata
sol,luna,perro,"No, porque eso no existe",creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo,"un cabello con muchos pelos, un jamster, un conejo",Una luna porque la luna es como una pelota y es de color plata
sol,luna,pelo,"si, porque significa que su mama canta mucho",quiere decir que su hermano grita mucho,"la ropa, porque puede que la ropa tenga muchas pelusas que parezcan pelos",puse la luna porque parece una pelota de plata porque es redonda y es color gris con blanco
sol,eso,perro,"No, porque una pelota no canta ni habla, no tiene vida",el hermano siempre esta gritando como una pelota que siempre rebota,podria ser un perro o un animal porque tienen mucho pelo los perros y una pelota es como decir mi perro es una bola de pelos,La plata esta redonda
sol,luna,perrita,"Si, porque son hermosas",porque mi hermanito es muy latoso,gato,porque la luna es color plateado y es como una plata
sol,la luna,mascota,"No, porque ?como una pelota canta?",que su hermano grita mucho,no se porque dije mascota,"la luna, porque se ve brillante"
sol,En un anillo,cabeza,"si, porque una pelota puede ser muchas cosas hasta una cabeza",mi hermano grita mucho*,tal vez los arboles (porque algunos son redondos y suaves),en los anillos a veces hay adentro plata
metiorito,eso,hermana,"No, porque las pelotas no cantan",que no para de llorar ni quejarse y llorar y a cada rato esta gritando,podria ser un conjunto de pelos acumulados en forma de pelota*,yo creo que podrian ocupar la frase para decir que esa pelota es especial
